grid_id,longitude,latitude,gold_label_strict,distance_to_nearest_deposit_km,distance_to_nearest_broad_gold_site_km,spatial_fold,Random Forest,XGBoost,final_ensemble_score,model_disagreement,final_rank,pre_gravity_rank,pre_gravity_score,rank_movement_after_gravity_reduction,final_tier
399,120.55212864282186,-29.568630973769302,0.0,18.91706339619117,4.182355947280675,3,0.49153062947208476,0.2314971685409546,0.36151389900651965,0.26003346093113017,24,17,0.5574117936123445,-7,Lower
131,122.32450249876496,-30.91609773625584,0.0,17.889114900044692,12.10234161910658,0,0.40684760344092985,0.2989223897457123,0.35288499659332107,0.10792521369521757,25,44,0.3574173517568074,19,Lower
308,120.9691577853967,-30.017786561264813,0.0,16.222498622189743,15.034568301050546,3,0.4503664506155453,0.20135170221328735,0.32585907641441636,0.24901474840225796,26,38,0.4022752055916328,12,Lower
34,122.11598792747752,-31.365253323751347,0.0,21.927796940086736,19.93361881053369,0,0.3509650516301487,0.28085359930992126,0.315909325470035,0.07011145232022742,27,7,0.6596305525483608,-20,Lower
223,122.01173064183382,-30.466942148760324,0.0,17.820009168077874,1.6094628387453127,2,0.4488458884284807,0.163870707154274,0.30635829779137735,0.28497518127420673,28,25,0.4403734249278198,-3,Lower
405,121.17767235668413,-29.568630973769302,0.0,15.424338905377736,5.112781105868493,3,0.438248645488611,0.16429761052131653,0.30127312800496375,0.27395103496729445,29,26,0.4391792219206746,-3,Lower
151,122.42875978440868,-30.826266618756733,0.0,31.961127710827167,19.97341424606497,0,0.3248789523458578,0.2713393270969391,0.2981091397213984,0.0535396252489187,30,60,0.2706065175411785,30,Lower
364,120.864900499753,-29.748293208767507,0.0,16.206080427512628,15.224758021257424,3,0.3971490348680837,0.19064974784851074,0.29389939135829724,0.20649928701957293,31,23,0.480189044886802,-8,Lower
274,121.38618692797156,-30.19744879626301,0.0,15.267943458397127,10.11002340035778,1,0.42943884159518936,0.1452656239271164,0.28735223276115285,0.28417321766807296,32,15,0.5803801946018883,-17,Lower
132,122.42875978440868,-30.91609773625584,0.0,25.46173135397681,20.0843371011182,0,0.28980433451587195,0.2628214359283447,0.27631288522210834,0.026982898587527226,33,63,0.250067133460886,30,Lower
326,120.864900499753,-29.92795544376571,0.0,24.19461858870622,21.224892090927028,3,0.3257023658449108,0.16841062903404236,0.24705649743947658,0.15729173681086844,34,42,0.3772641867475619,8,Lower
368,121.28192964232784,-29.748293208767507,0.0,15.162747887282718,15.162747887282718,3,0.3185366021279775,0.12101380527019501,0.21977520369908626,0.1975227968577825,35,41,0.3882579578639791,6,Lower
222,121.90747335619012,-30.466942148760324,0.0,22.2608991792568,3.292580447306074,2,0.2936811087943144,0.14362747967243195,0.21865429423337318,0.15005362912188247,36,59,0.2782066315087755,23,Lower
293,121.38618692797156,-30.10761767876392,0.0,18.63211245721693,10.031274681199545,3,0.3643952315574995,0.05996407940983772,0.2121796554836686,0.30443115214766175,37,36,0.4139025091813322,-1,Lower
153,120.65638592846555,-30.73643550125763,0.0,24.742770404760588,11.62376132689785,1,0.238414954168691,0.18350352346897125,0.2109592388188311,0.05491143069971974,38,57,0.2898075500534027,19,Lower
15,122.11598792747752,-31.45508444125045,0.0,27.30952429770132,17.38098969959508,0,0.2910055316300046,0.12790407240390778,0.20945480201695618,0.1631014592260968,39,16,0.5778485402210759,-23,Lower
204,122.01173064183382,-30.556773266259427,0.0,17.546679306593347,4.603343848011826,0,0.30629440958066473,0.10791799426078796,0.20710620192072635,0.19837641531987676,40,65,0.2340322794206024,25,Lower
387,121.28192964232784,-29.658462091268404,0.0,19.817993387024185,14.110357005007604,3,0.2843774888673538,0.11419153958559036,0.1992845142264721,0.17018594928176345,41,48,0.3480581667950826,7,Lower
